,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,21,3,2.7903389002,1,3457,-3.891218841493678e-06,easy,easy,2.4371899267466848e-06
1,21,5,1.0941085001,1,1661,7.5692908913055474e-06,medium,easy,4.626782214152209e-06
2,21,4,1.4122631999,1,820,6.8199343760416985e-06,medium,easy,1.6627724610415285e-06
3,21,2,1.3382057,1,578,-2.205732495931602e-06,medium,easy,5.52469554623925e-06
4,21,6,1.0031268999,1,831,-2.1248685079674556e-06,easy,easy,5.584515369610228e-06
5,21,5,1.1765614999,1,531,4.801127277014323e-06,hard,easy,-6.5765105233663085e-06
6,21,4,1.7815829001,0,777,-2.6271088104408754e-06,hard,easy,-2.9774864941849338e-06
7,21,3,1.6474887999,1,1611,7.235817065239258e-07,easy,easy,-9.358720884682846e-06
8,21,6,1.6144412002,1,221,2.0655620569062704e-06,easy,easy,-4.496557923213615e-07
9,21,6,0.9027177,1,179,-1.3755777262598076e-06,medium,easy,1.8685155181969048e-06
10,21,6,1.0644872,1,563,-4.300441415033286e-06,medium,easy,4.026243248364551e-06
11,21,5,2.7981929001,1,1185,1.6956300692065654e-07,easy,easy,-9.552292425114977e-08
12,21,5,1.4577668998,1,571,3.505616849683923e-06,hard,easy,5.5237483597387075e-06
13,21,6,1.3043936999,1,227,6.947465342294106e-07,hard,easy,-4.033704435432651e-06
14,21,4,2.5976105002,1,725,-2.260025923583137e-06,hard,easy,-8.852792747864614e-06
15,21,5,1.5837367999,1,331,-2.293447789875847e-06,medium,easy,1.3686866259602141e-06
16,21,5,1.3131887,1,748,-7.806887060603292e-07,easy,easy,-1.868520062787968e-06
17,21,5,0.9568862,1,527,-2.4349704151672783e-06,medium,easy,1.2014186289545304e-06
18,21,6,1.0153356001,1,308,4.859590021115342e-06,medium,easy,-7.747688442562776e-06
19,21,4,3.6338507,0,458,1.7464611122311971e-06,easy,easy,-7.398501157355249e-07
20,21,4,4.0183406002,0,234,-6.358260007765306e-06,easy,easy,-7.568064892881623e-07
21,21,5,0.8092725,1,339,3.515983951205287e-07,easy,easy,1.7668912192304027e-06
22,21,6,1.0204568,1,368,-9.190323313085389e-06,easy,easy,5.087567250143416e-06
23,21,5,1.9402300999,0,182,-1.1824628334306816e-06,hard,easy,6.291297996271883e-06
24,21,5,1.9607487,0,516,-1.0876648677093944e-06,easy,easy,5.652975775279316e-07
25,21,6,1.5126437,1,293,-1.3449964964032373e-06,hard,easy,-1.113932215917073e-05
26,21,6,0.8509006,0,170,-6.3996203498100215e-06,medium,easy,4.864790629089899e-06
27,21,6,1.0438715001,1,199,-7.83209674809198e-06,medium,easy,2.009176307322161e-05
28,21,6,0.8088254,1,177,3.577958161050159e-06,medium,easy,-4.30641435548944e-06
29,21,6,0.9825604998,1,166,8.570841469718076e-08,hard,easy,-3.957388430593489e-06
30,21,4,2.0771793001,0,510,-7.266252828568841e-06,hard,easy,-2.1916348134966644e-06
31,21,3,1.5801104,1,863,-3.7779749248234505e-06,easy,easy,-3.4543822226274032e-06
32,21,3,1.8934678,1,196,-5.055677712017933e-06,medium,easy,3.834641990519581e-06
33,21,6,0.8838714,1,251,3.5559645821010276e-07,easy,easy,3.486891711147013e-06
34,21,5,1.3409344,1,447,-8.436666876678164e-06,hard,easy,4.808598628782438e-06
35,21,5,1.0784559001,1,309,-2.4302246540487754e-06,hard,easy,5.288430732146157e-06
36,21,6,0.9172797999,1,151,-8.310170384983617e-06,medium,easy,8.280992400911469e-06
37,21,4,2.9761411999,0,251,-3.137004894908839e-06,hard,easy,2.259838180738131e-06
38,21,5,1.0084982002,1,237,-1.9821219284320084e-06,medium,easy,-2.5280686336490225e-06
39,21,5,0.9860405,1,176,-5.986383423711815e-06,medium,easy,1.8351510362615884e-06
40,21,5,2.1664078999,1,437,-7.182391517062814e-06,hard,easy,1.033529874066237e-05
41,21,5,2.1412566998,1,193,-4.332662669399078e-06,medium,easy,8.97295958631294e-06
42,21,5,0.8511300001,1,249,-2.9093231244133392e-06,easy,easy,5.4387028924877834e-06
43,21,5,0.9092158,1,191,-1.6857033238617255e-06,hard,easy,-3.2271436924804063e-06
44,21,5,1.3348775001,1,117,-9.181442251807262e-06,easy,easy,6.961298848161759e-06
45,21,5,0.9783484999,1,347,-3.750082452067463e-06,hard,easy,6.462073887396023e-07
46,21,6,2.0112866999,1,416,-6.131352157594365e-06,easy,easy,-1.6196657450744284e-06
47,21,6,1.0085552998,1,394,5.147069692700802e-06,hard,easy,-1.2289573686322389e-05
48,21,4,2.5149617,1,472,-6.767682353254018e-06,hard,easy,-2.257070476590104e-06
49,21,5,0.7495778999,1,234,-4.823295120498858e-06,medium,easy,1.532020376343087e-06
50,21,6,1.0619703999,1,185,5.604324370059154e-06,hard,easy,4.5459639475687385e-06
51,21,6,0.9920042001,1,173,-5.340139227096962e-06,easy,easy,1.2144478135337097e-05
52,21,2,1.0859323002,1,1646,-1.0458285240730706e-05,hard,easy,4.504172357851026e-06
53,21,6,1.2616216,1,205,5.070103689651358e-06,hard,easy,-5.148950869509563e-06
54,21,6,1.6368424001,1,214,-3.926245783301425e-06,medium,easy,1.3229344541710527e-06
55,21,4,3.7353896999,1,238,-1.4889693954089165e-06,hard,easy,-1.903132383242631e-06
56,21,6,0.7878872,1,248,-6.7731391442019785e-06,hard,easy,-2.044052024472074e-06
57,21,6,1.0575373999,1,199,3.6959677379072684e-06,medium,easy,-7.137800856717834e-06
58,21,6,0.8438748,1,208,-7.665139599168088e-06,hard,easy,5.10834640859732e-06
59,21,6,0.7219989002,1,190,-1.6291437317401017e-06,easy,easy,-2.3937031459234844e-06
60,21,6,0.6860107,1,222,3.2527245610126062e-06,easy,easy,-7.3659068325115955e-06
61,21,6,0.6040367,1,192,1.2574575747180183e-05,easy,easy,-1.1186123855482823e-05
