,sub,cj,rt,cor,rtcj,average_fr_amplitude,difficulty,condition
0,31,6,1.8368480001,1,368,5.203077770218667e-06,easy,hard
1,31,6,1.4126154999,0,811,1.4392050177358734e-06,medium,hard
2,31,6,1.5623056996,1,399,-1.4656468302004754e-06,easy,hard
3,31,6,1.8825156,1,519,1.1249580256271672e-06,medium,hard
4,31,6,1.8005006998,1,393,-3.4132185593139946e-06,hard,hard
5,31,5,1.9957266999,1,350,-2.968512383037367e-06,hard,hard
6,31,4,0.9767491003,1,811,-1.384660902147265e-07,hard,hard
7,31,6,1.2510519996,1,476,-2.0878290439169773e-06,easy,hard
8,31,6,1.2048009001,1,444,7.334199068435994e-06,medium,hard
9,31,6,0.9853834002,1,838,8.966861516265957e-06,hard,hard
10,31,4,1.2923546,0,499,-3.064549450381019e-06,hard,hard
11,31,5,0.8118308,1,1155,3.7589644110801273e-06,medium,hard
12,31,6,1.0237181,1,527,9.521614601895971e-06,easy,hard
13,31,5,1.7128198999,1,272,-7.800784458992466e-06,easy,hard
14,31,5,1.2429228998,1,646,-2.3224117004919846e-08,hard,hard
15,31,6,1.3942669998,1,440,-1.0134362376962278e-06,medium,hard
16,31,5,1.1248663999,1,586,-3.705869090742074e-06,hard,hard
17,31,6,0.9761394002,1,335,-3.097905766813443e-06,easy,hard
18,31,6,0.8956209002,1,353,1.3324255591321882e-06,easy,hard
19,31,4,1.2146087,1,464,7.131579113890311e-06,medium,hard
20,31,4,1.1159251002,1,1157,8.230673893128108e-06,medium,hard
21,31,4,1.3863784,1,1008,7.870844078095631e-06,easy,hard
22,31,4,1.5357108996,1,411,-4.211785767472422e-09,medium,hard
23,31,5,1.1121266,1,373,5.157630908469235e-06,medium,hard
24,31,6,0.8363475003,1,567,-1.7864438236704897e-07,easy,hard
25,31,5,0.8070355998,1,375,3.535763498406924e-06,hard,hard
26,31,4,1.3176945001,1,439,-4.432375041902868e-07,hard,hard
27,31,5,1.1072193002,1,653,9.110755830812862e-06,hard,hard
28,31,6,1.7597210002,1,352,1.1564246269288864e-06,easy,hard
